ACC_NAME_TH,ACC_NAME_EN,ACCOM_TYPE_NAME,ACC_ROOM,ACC_HILIGHT,ACC_HIGH_RATE,ACC_LOW_RATE,ACC_ROAD,REGION_NAME_TH,SUBDISTRICT_NAME_TH,DISTRICT_NAME_TH,PROVINCE_NAME_TH,ACC_LOCATION,Latitude,Longitude,ACC_STANDARD,ACC_LOCATION_1
เรือนมาลัย โฮมสเตย์,Rueanmalaihomestay,โฮมสเตย์/เรือนพักแรม,4,โฮมสเตย์เรือนไทยริมน้ำ บรรยากาศดี,2400,450,,ภาคกลาง,บางสะแก,บางคนที,สมุทรสงคราม,"13.4486969, 99.90150659999999",13.4486969, 99.90150659999999,6,"13.4486969, 99.90150659999999"
บ้านน้ำเป็น รีสอร์ท,Baan Nam Pen Resort,รีสอร์ท,9,,1400,1000,,ภาคกลาง,โรงหีบ,บางคนที,สมุทรสงคราม,"13.465869, 99.9388172",13.465869,99.9388172,6,"13.465869, 99.9388172"
จันทิมา เพลส แอท อัมพวา,Juntima Place at Amphawa,โรงแรม,30,,2400,1000,จางวาง,ภาคกลาง,อัมพวา,อัมพวา,สมุทรสงคราม,"13.415024, 99.968233",13.415024,99.968233,6,"13.415024, 99.968233"
เอ็นอาร์ โฮมสเตย์,NR Homestays,โฮมสเตย์/เรือนพักแรม,4,,2000,800,,ภาคกลาง,อัมพวา,อัมพวา,สมุทรสงคราม,"13.427879, 99.9631938",13.427879,99.9631938,6,"13.427879, 99.9631938"
มีพวา รีสอร์ท,Mee Phawa Resort,รีสอร์ท,7,,990,820,,ภาคกลาง,บางพรม,บางคนที,สมุทรสงคราม,"13.4467547, 99.9475863",13.4467547,99.9475863,6,"13.4467547, 99.9475863"
โพธิ์งามรีสอร์ท,Pho ngam Resort,รีสอร์ท,12,,450,450,,ภาคตะวันออก,โพธิ์งาม,ประจันตคาม,ปราจีนบุรี,"14.1086102, 101.5076089",14.1086102,101.5076089,,"14.1086102, 101.5076089"
แกรนด์ อินเตอร์ โฮเทล,Grand Inter Hotel,โรงแรม,150,,1500,850,,ภาคกลาง,โคกขาม,เมืองสมุทรสาคร,สมุทรสาคร,"13.568936682067672, 100.33975481987",13.568936682067672,100.3397548,,"13.568936682067672, 100.33975481987"
เทวี บางกอก,Dhevi Bangkok Hotel,โรงแรม,64,,2820,2209,เพชรบุรี,ภาคกลาง,ถนนเพชรบุรี,ราชเทวี,กรุงเทพมหานคร,"13.7529735, 100.5241483",13.7529735,100.5241483,,"13.7529735, 100.5241483"
เซ็นทารา อ่าวนาง บีช รีสอร์ท,Centara Ao Nang Beach Resort & Spa Krabi,โรงแรม,179,,15000,4000,,ภาคใต้,อ่าวนาง,เมืองกระบี่,กระบี่,"8.029584026849689, 98.82581854446659",8.029584026849689, 98.82581854446659,,"8.029584026849689, 98.82581854446659"
บ้านริมโขงรีสอร์ท,,รีสอร์ท,7,,3000,400,,ภาคตะวันออกเฉียงเหนือ,ดอนตาล,ดอนตาล,มุกดาหาร,"16.7664354, 104.7411874",16.7664354,104.7411874,6,"16.7664354, 104.7411874"
