ACC_NAME_TH,ACC_NAME_EN,ACCOM_TYPE_NAME,ACC_ROOM,ACC_HILIGHT,ACC_HIGH_RATE,ACC_LOW_RATE,ACC_ROAD,REGION_NAME_TH,SUBDISTRICT_NAME_TH,DISTRICT_NAME_TH,PROVINCE_NAME_TH,ACC_LOCATION,Latitude,Longitude,ACC_STANDARD,ACC_LOCATION_1
ป่าตอง ลอดจ์,Patong Lodge,โรงแรม,130,,5000,1000,พระบารมี,ภาคใต้,ป่าตอง,กะทู้,ภูเก็ต,"7.910148100000001, 98.2967161",7.9101481,98.2967161,6,"7.910148100000001, 98.2967161"
นาคา เรสซิเดนซ์,(Naka Residence),โรงแรม,43,,1100,1100,เจ้าฟ้าตะวันตก,ภาคใต้,วิชิต,เมืองภูเก็ต,ภูเก็ต,"7.8838091, 98.3645231",7.8838289,98.3645011,6,"7.8838091, 98.3645231"
ซันนี่ โฮสเทล,Sunny Hostel Phuket,เกสท์เฮ้าส์,11,,850,550,,ภาคใต้,ตลาดเหนือ,เมืองภูเก็ต,ภูเก็ต,"7.8864537, 98.3873121",7.8864859,98.3873059,6,"7.8864537, 98.3873121"
เดอะ โทแปซ เรซิเดนซ์,(The Topaz Residence),อพาร์ทเมนท์/แมนชั่น,72,,1200,1200,พัฒนา,ภาคใต้,ตลาดเหนือ,เมืองภูเก็ต,ภูเก็ต,"7.8815266, 98.3817392",7.8815266,98.3817392,6,"7.8815266, 98.3817392"
เพียว ภูเก็ต เรสซิเดนซ์,Pure Phuket Residence,เซอร์วิส อพาร์ทเมนท์,45,,670,500,เจ้าฟ้า,ภาคใต้,ตลาดเหนือ,เมืองภูเก็ต,ภูเก็ต,"7.8784722, 98.3816289",7.8786373,98.3816307,6,"7.8784722, 98.3816289"
รุ่งระวี แมนชั่น,Rungrawee Mansion,อพาร์ทเมนท์/แมนชั่น,30,,500,500,เยาวราช,ภาคใต้,ตลาดใหญ่,เมืองภูเก็ต,ภูเก็ต,"13.65689, 100.6185672",13.65689,100.6185672,6,"13.65689, 100.6185672"
ฟุตฟิตโฟไฟ  อินน์,,โมเต็ล,40,,500,220,แสงชูโต,ภาคกลาง,ท่ามะขาม,เมืองกาญจนบุรี,กาญจนบุรี,"14.0405117, 99.51766579999999",14.0404011,99.5175377,,"14.0405117, 99.51766579999999"
รอยัล ปริ๊นเซส หลานหลวง,Royal Princess Lanluang,โรงแรม,167,,7500,1500,หลานหลวง,ภาคกลาง,วัดโสมนัส,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,"13.757256, 100.512867",13.757256,100.512867,4,"13.757256, 100.512867"
หนุ่มเกสเฮ้าส์,Noom Guesthouse,เกสท์เฮ้าส์,8,,600,200,พระยากำจัด,ภาคกลาง,ท่าหิน,เมืองลพบุรี,ลพบุรี,"14.8004208, 100.6140252",14.8004208,100.6140252,1,"14.8004208, 100.6140252"
อุทยานแห่งชาติน้ำตกสามหลั่น,,บ้านพักอุทยาน/ทีพักของหน่วยราชการ,9,,2400,600,,ภาคกลาง,หนองปลาไหล,เมืองสระบุรี,สระบุรี,"14.4407444, 100.9596264",14.4399813,100.9596166,,"14.4407444, 100.9596264"
เดอะเกรทอินน์ by พฤกษาสิริวิว พระพุทธบาท,The great inn by Phrueksa Siri view,โรงแรม,40,,690,450,พหลโยธิน,ภาคกลาง,พระพุทธบาท,พระพุทธบาท,สระบุรี,"14.5080277, 100.9099101",14.5080415,100.9099541,,"14.5080277, 100.9099101"
ศุภาลัย ป่าสัก รีสอร์ท แอนด์ สปา,Supalai Pasak Resort Hotel & Spa,รีสอร์ท,230,โรงแรมขนาดใหญ่ สถานที่กว้างขวาง มีสระะว่ายน้ำ สิ่งอำนวยความสะดวกครบครัน สามารถรองรับการจัดเลี้ยง งานสังสรรค์ งานสัมนาขนาดใหญ่ได้,2450,1500,,ภาคกลาง,ท่าคล้อ,แก่งคอย,สระบุรี,"14.6923, 101.0485382",14.6923,101.0485382,,"14.6923, 101.0485382"
ศูนย์ศึกษาธรรมชาติและท่องเที่ยวเชิงนิเวศเจ็ดคดโป่งก้อนเส้า,,บ้านพักอุทยาน/ทีพักของหน่วยราชการ,39,,1000,800,,ภาคกลาง,ท่ามะปราง,แก่งคอย,สระบุรี,"14.4938738, 101.1616048",14.4938521,101.1617225,,"14.4938738, 101.1616048"
เชอโคว์ เชอโคว์ โฮมสเตย์,Cherco Cherco Homestay,โฮมสเตย์/เรือนพักแรม,9,,2000,500,ต้นผึ้ง,ภาคกลาง,หนองลู,สังขละบุรี,กาญจนบุรี,"15.14464, 98.4574576",15.1446184,98.4573251,6,"15.14464, 98.4574576"
เลคเทอเรซ รีสอร์ท,Lake Terrace Resort,รีสอร์ท,58,,2500,1200,,ภาคใต้,ปากน้ำ,ละงู,สตูล,"6.8397864, 99.7517599",6.8395579,99.7513653,,"6.8397864, 99.7517599"
เซ็นทรัลเพลส,Central Place Hotel,โรงแรม,94,,3000,1000,เอกชัย,ภาคกลาง,มหาชัย,เมืองสมุทรสาคร,สมุทรสาคร,"13.5457115, 100.2608613",13.5457163,100.2608679,,"13.5457115, 100.2608613"
บ้านแพ้ว,Baan Paew,โรงแรม,10,,500,220,บ้านแพ้ว พระประโทน,ภาคกลาง,บ้านแพ้ว,บ้านแพ้ว,สมุทรสาคร,"13.6188273, 100.0983147",13.6188273,100.0983147,,"13.6188273, 100.0983147"
ออร์คิด,Orchid Hotel,โรงแรม,52,,440,360,พระราม 2,ภาคกลาง,ท่าจีน,เมืองสมุทรสาคร,สมุทรสาคร,"13.551633, 100.261559",13.5515042,100.2615241,,"13.551633, 100.261559"
นาวาพนมเกสท์เฮ้าส์,Navapanom Guesthouse,เกสท์เฮ้าส์,12,,350,350,สุวรรณศร,ภาคตะวันออก,อรัญประเทศ,อรัญประเทศ,สระแก้ว,"13.6733236, 102.531259",13.6735882,102.531127,,"13.6733236, 102.531259"
เกรทอินน์,Great Inn Hotel,บังกะโล,40,,500,300,เทศบาล7,ภาคตะวันออก,สระแก้ว,เมืองสระแก้ว,สระแก้ว,"13.8278995, 102.0643443",13.8278995,102.0643443,,"13.8278995, 102.0643443"
พุทธรักษา บังกะโล,Buddharuksa Bungalow,บังกะโล,10,,300,250,สุวรรณศร,ภาคตะวันออก,วัฒนานคร,วัฒนานคร,สระแก้ว,"13.7587213, 102.3290405",13.7589588,102.3294221,,"13.7587213, 102.3290405"
เรือนแก้ว  รีสอร์ท,Ruenkeaw Resort,บังกะโล,20,,400,300,เทศบาล 18,ภาคตะวันออก,สระแก้ว,เมืองสระแก้ว,สระแก้ว,"13.8102502, 102.0777206",13.8102502,102.0777206,,"13.8102502, 102.0777206"
เบสท์เฮ้าส์ รีสอร์ท,Best House Resort,รีสอร์ท,20,,1200,550,ละงู ปากบารา,ภาคใต้,ปากน้ำ,ละงู,สตูล,"6.8586294, 99.7232912",6.8586294,99.7232912,,"6.8586294, 99.7232912"
รอยัล เกสท์เฮ้าส์,Royal Guesthouse,เกสท์เฮ้าส์,16,,390,390,ยนตรการกำธร,ภาคใต้,คลองขุด,เมืองสตูล,สตูล,"6.6336865, 100.0702749",6.6336974,100.0702664,,"6.6336865, 100.0702749"
ไทยอบอุ่นเฮ้าส์,Thai Op Oun,โรงแรม,15,,450,400,ราษฎร์อุทิศ,ภาคใต้,พิมาน,เมืองสตูล,สตูล,"6.611025799999999, 100.0712351",6.6110258,100.0712351,,"6.611025799999999, 100.0712351"
วังประภารีสอร์ท,Wangpraparesort,รีสอร์ท,36,,1600,500,วังปลาตอง,ภาคตะวันออก,อรัญประเทศ,อรัญประเทศ,สระแก้ว,"13.676887, 102.508685",13.676887,102.508685,,"13.676887, 102.508685"
ศรีกิจ  บ้านสวนรีสอร์ท,Srikij Resort,รีสอร์ท,24,,800,800,เทศบาล 14,ภาคตะวันออก,สระแก้ว,เมืองสระแก้ว,สระแก้ว,"13.803798, 102.068739",13.8016194,102.0691602,,"13.803798, 102.068739"
จันทรา,Chantra Hotel,โรงแรม,84,,1390,650,สุวรรณศร,ภาคตะวันออก,สระแก้ว,เมืองสระแก้ว,สระแก้ว,"13.8148936, 102.0746081",13.8148936,102.0746081,,"13.8148936, 102.0746081"
บ้านกุ้งแม่น้ำ โฮมสเตย์,baan kungmaenum,โฮมสเตย์/เรือนพักแรม,11,,2000,800,บางกะพ้อม,ภาคกลาง,อัมพวา,อัมพวา,สมุทรสงคราม,"13.4135584, 99.96046559999999",13.4135584,99.9604656,,"13.4135584, 99.96046559999999"
บ้านฐิโนทัยโฮมสเตย์,Baantinothai Homestay,โฮมสเตย์/เรือนพักแรม,5,,1000,1000,,ภาคกลาง,อัมพวา,อัมพวา,สมุทรสงคราม,"13.4268922, 99.9616302",13.4268922,99.9616302,,"13.4268922, 99.9616302"
บ้านบรรณารักษ์โฮมสเตย์,baanbunnaruk_homestay,โฮมสเตย์/เรือนพักแรม,4,,1500,500,,ภาคกลาง,บางแค,อัมพวา,สมุทรสงคราม,"13.4036691, 99.90964799999999",13.4036691,99.909648,,"13.4036691, 99.90964799999999"
บ้านฝนโฮมสเตย์,fonhomestay,โฮมสเตย์/เรือนพักแรม,2,,350,350,ประชาอุทิศ,ภาคกลาง,อัมพวา,อัมพวา,สมุทรสงคราม,"13.4320683, 99.9589498",13.4320683,99.9589498,,"13.4320683, 99.9589498"
บ้านริมคลองโฮมสเตย์,banrimklong,โฮมสเตย์/เรือนพักแรม,10,,1800,700,,ภาคกลาง,บ้านปรก,เมืองสมุทรสงคราม,สมุทรสงคราม,"13.4238466, 99.9806708",13.4238466,99.9806708,,"13.4238466, 99.9806708"
บ้านสวน แสงตะวัน โฮมสเตย์,Baan Suan Sang Ta Wan Homestay,โฮมสเตย์/เรือนพักแรม,9,,1500,350,,ภาคกลาง,บางพรม,บางคนที,สมุทรสงคราม,"13.4477126, 99.9505958",13.4477462,99.9505193,,"13.4477126, 99.9505958"
เรือนบุษบา โฮมสเตย์,Ruenbudsaba Homestay,โฮมสเตย์/เรือนพักแรม,2,,1500,1200,,ภาคกลาง,บางกุ้ง,บางคนที,สมุทรสงคราม,"13.4519215, 99.9424865",13.4519215,99.9424865,,"13.4519215, 99.9424865"
แสนสุขรีสอร์ท อัมพวา,Sansuk Resort,รีสอร์ท,11,,1500,1300,,ภาคกลาง,สวนหลวง,อัมพวา,สมุทรสงคราม,"13.4222098, 99.9593641",13.4221643,99.9595953,,"13.4222098, 99.9593641"
บ้านอ่าวทอง รีสอร์ท,Ban Ao Thong Resort,รีสอร์ท,21,,1200,650,สถานี,ภาคใต้,ทับเที่ยง,เมืองตรัง,ตรัง,"7.553932000000001, 99.6049269",7.5539982,99.6049197,,"7.553932000000001, 99.6049269"
น้ำใสเขาสวย รีสอร์ท,Numsai Khosuay Resort,รีสอร์ท,28,,5600,2300,เพิ่มผล,ภาคใต้,เขานิเวศน์,เมืองระนอง,ระนอง,"9.960047399999999, 98.63638",9.9600474,98.63638,,"9.960047399999999, 98.63638"
ริเวอร์ รีสอร์ท แอนด์สปา,River Resort & Spa,โรงแรม,53,,700,700,สุวรรณศร,ภาคตะวันออก,สระแก้ว,เมืองสระแก้ว,สระแก้ว,"13.809576, 102.081162",13.8095198,102.0811813,,"13.809576, 102.081162"
สเตชั่น วัน โฮเทล,Station one,โรงแรม,80,,600,600,ธนะวิถี,ภาคตะวันออก,อรัญประเทศ,อรัญประเทศ,สระแก้ว,"13.69469, 102.502319",13.6941767,102.5022384,6,"13.69469, 102.502319"
ไร่หวานสนิทรีสอร์ท,Rai Warnsanit Resort,บังกะโล,60,,1200,1000,,ภาคกลาง,ท่ามะปราง,แก่งคอย,สระบุรี,"14.447364, 101.056638",14.4473555,101.0565473,,"14.447364, 101.056638"
อิสรา บูติก ไวน์เนอร์รี่ โฮเทล,Issara Boutique Winery Hotel,รีสอร์ท,34,,7000,3500,,ภาคกลาง,มวกเหล็ก,มวกเหล็ก,สระบุรี,"14.5911944, 101.1915126",14.5893986,101.1914467,,"14.5911944, 101.1915126"
ดาวเด่น รีสอร์ท,,รีสอร์ท,16,,3500,1000,มิตรภาพ,ภาคกลาง,มวกเหล็ก,มวกเหล็ก,สระบุรี,"14.6606763, 101.2006956",14.6604758,101.2003862,,"14.6606763, 101.2006956"
สายป่านรีสอร์ท,SP VALLEY,รีสอร์ท,35,,5500,1300,,ภาคกลาง,มวกเหล็ก,มวกเหล็ก,สระบุรี,"14.607857, 101.1970085",14.607888,101.1970559,,"14.607857, 101.1970085"
มวกเหล็ก เฮลท์ สปา แอนด์ รีสอร์ท,Muaklek Health Spa & Resort,รีสอร์ท,46,,8000,2200,มวกเหล็ก วังม่วง,ภาคกลาง,มวกเหล็ก,มวกเหล็ก,สระบุรี,"14.600327, 101.2066817",14.6003069,101.2068704,,"14.600327, 101.2066817"
หงส์ทอง รีสอร์ท,,รีสอร์ท,18,,700,450,,ภาคกลาง,บ้านป่า,แก่งคอย,สระบุรี,"14.5963372, 101.0144554",14.5962719,101.0141983,,"14.5963372, 101.0144554"
เซอร์เจมส์รีสอร์ท แอนด์ คันทรี คลับ,Sir James Resort And Country Club,โรงแรม,143,รีสอร์ทขนาดใหญ่ มีสนามกอล์ฟขนาดใหญ่,7000,2000,,ภาคกลาง,มิตรภาพ,มวกเหล็ก,สระบุรี,"14.598866947156056, 101.19824409484863",14.5976737,101.1994549,,"14.598866947156056, 101.19824409484863"
สาเกตนคร,,โรงแรม,131,,1200,350,หายโศรก,ภาคตะวันออกเฉียงเหนือ,ในเมือง,เมืองร้อยเอ็ด,ร้อยเอ็ด,"16.0658857, 103.6513861",16.0658857,103.6513861,,"16.0658857, 103.6513861"
มิสซิส สวอน วิลล่า,Mrs. Swan Villas,รีสอร์ท,10,,3000,2550,พระยารัตนาเศรษฐี,ภาคใต้,ปากน้ำ,เมืองระนอง,ระนอง,"9.9934358, 98.6038131",9.9929718,98.6040341,,"9.9934358, 98.6038131"
บ้านชาวเล,Baanchaolay,โฮมสเตย์/เรือนพักแรม,3,,800,600,,ภาคกลาง,บ้านปรก,เมืองสมุทรสงคราม,สมุทรสงคราม,"13.316079, 99.9434352",13.316079,99.9434352,6,"13.316079, 99.9434352"
ทิพย์วิมานรีสอร์ท,tipviman,รีสอร์ท,16,,580,480,,ภาคกลาง,บ้านปรก,เมืองสมุทรสงคราม,สมุทรสงคราม,"13.4165853, 99.9798721",13.4166949,99.9802403,,"13.4165853, 99.9798721"
บ้านพักบางแก้ว,,โฮมสเตย์/เรือนพักแรม,35,,420,320,,ภาคกลาง,บางแก้ว,เมืองสมุทรสงคราม,สมุทรสงคราม,"13.4177816, 100.0338322",13.4177816,100.0338322,,"13.4177816, 100.0338322"
เอสจีเฮ้าส์,S G House,เกสท์เฮ้าส์,14,,200,100,รัตนโกสินทร์,ภาคเหนือ,วัดเกต,เมืองเชียงใหม่,เชียงใหม่,"18.8010654, 99.00901669999999",18.8010654,99.0090167,,"18.8010654, 99.00901669999999"
บ้านอัมพวา รีสอร์ท แอนด์ สปา,Baan Amphawa Resort & Spa,รีสอร์ท,60,,12900,3800,บางกะพ้อม แก้วฟ้า,ภาคกลาง,อัมพวา,อัมพวา,สมุทรสงคราม,"13.4108466, 99.9627881",13.4108466,99.9627881,4,"13.4108466, 99.9627881"
กรีนอพาร์ทเมนต์,Green Apartment,อพาร์ทเมนท์/แมนชั่น,16,,600,500,เจริญชมปรีดา,ภาคกลาง,แม่กลอง,เมืองสมุทรสงคราม,สมุทรสงคราม,"13.4047883, 100.0046679",13.4047937,100.0047457,,"13.4047883, 100.0046679"
ฮอริซอน บีช รีสอร์ท เกาะจำ,Horizon Beach Resort Koh Jum,รีสอร์ท,18,,6200,1500,,ภาคใต้,เกาะศรีบอยา,เหนือคลอง,กระบี่,"7.810667499999998, 98.9690677",7.8106997,98.969057,,"7.810667499999998, 98.9690677"
ซิกแซก รีสอร์ท,,บังกะโล,11,,350,350,นครพนม นาแก,ภาคตะวันออกเฉียงเหนือ,นาสีนวน,เมืองมุกดาหาร,มุกดาหาร,"16.489787, 104.7586251",16.4907517,104.7578615,2,"16.489787, 104.7586251"
ชมดาววิว รีสอร์ท,,รีสอร์ท,8,,400,200,นิตโย,ภาคตะวันออกเฉียงเหนือ,นาทราย,เมืองนครพนม,นครพนม,"17.3794397, 104.7184571",17.379475,104.718394,2,"17.3794397, 104.7184571"
ณ ธาตุพนมเพลส,Na That Phanom Please,โรงแรม,26,,600,300,ชยางกูร,ภาคตะวันออกเฉียงเหนือ,ธาตุพนม,ธาตุพนม,นครพนม,"16.9393221, 104.7230888",16.939279,104.7231903,2,"16.9393221, 104.7230888"
พรนฤมิตร,,โรงแรม,53,,250,100,ชยางกูร,ภาคตะวันออกเฉียงเหนือ,ธาตุพนม,ธาตุพนม,นครพนม,"16.9386504, 104.7205595",16.9390618,104.7203708,2,"16.9386504, 104.7205595"
กฤษดาริมโขง,Kridsada Rimkhong Resort,โรงแรม,16,,800,200,ริมโขง,ภาคตะวันออกเฉียงเหนือ,ธาตุพนม,ธาตุพนม,นครพนม,"16.9479614, 104.7297248",16.9478606,104.7296151,2,"16.9479614, 104.7297248"
บ้านคุณเกล้าโฮมสเตย์,BaanKhunKlao,โฮมสเตย์/เรือนพักแรม,3,,400,400,,ภาคกลาง,บ้านปรก,เมืองสมุทรสงคราม,สมุทรสงคราม,"13.4033503, 99.9831695",13.4033503,99.9831695,,"13.4033503, 99.9831695"
บ้านกมลพู,baankamonpue,โฮมสเตย์/เรือนพักแรม,3,,1500,1200,,ภาคกลาง,บ้านปรก,เมืองสมุทรสงคราม,สมุทรสงคราม,"13.4021378, 99.9830563",13.4021378,99.9830563,,"13.4021378, 99.9830563"
บ้านนก,Bannok Homestay,โฮมสเตย์/เรือนพักแรม,4,,1200,700,,ภาคกลาง,บ้านปรก,เมืองสมุทรสงคราม,สมุทรสงคราม,"13.4026568, 99.9832473",13.4026568,99.9832473,,"13.4026568, 99.9832473"
โฮมสเตย์อีสาน,I san Home stay,โฮมสเตย์/เรือนพักแรม,5,,500,300,,ภาคตะวันออกเฉียงเหนือ,โคกสว่าง,ปลาปาก,นครพนม,"17.4531188, 104.7439743",17.4531431,104.7439589,,"17.4531188, 104.7439743"
ไทยแสกโฮมสเตย์,Thai sak Home Stay,โฮมสเตย์/เรือนพักแรม,3,,300,300,,ภาคตะวันออกเฉียงเหนือ,อาจสามารถ,เมืองนครพนม,นครพนม,"17.4531188, 104.7439743",17.4531431,104.7439589,,"17.4531188, 104.7439743"
อมตะ อพาร์ทเม้นท์,Amata Hotel,โรงแรม,20,,450,450,เอกชัย,ภาคกลาง,ลาดใหญ่,เมืองสมุทรสงคราม,สมุทรสงคราม,"13.4189274, 100.0078348",13.4189272,100.0076531,,"13.4189274, 100.0078348"
แชงกรี ลา เชียงใหม่,"Shangri La Hotel, Chaiang Mai",โรงแรม,281,,20000,5300,ช้างคลาน,ภาคเหนือ,ช้างคลาน,เมืองเชียงใหม่,เชียงใหม่,"18.7783217, 99.0002224",18.7783217,99.0002224,,"18.7783217, 99.0002224"
สินธนารีสอร์ทเชียงใหม่,Sinthana Resort,รีสอร์ท,140,,1300,900,สุเทพ,ภาคเหนือ,สุเทพ,เมืองเชียงใหม่,เชียงใหม่,"18.7900111, 98.9556884",18.7898593,98.9559463,,"18.7900111, 98.9556884"
ศิระ,Sira Hotel,โรงแรม,17,,3700,2200,ศรีภูมิ,ภาคเหนือ,ศรีภูมิ,เมืองเชียงใหม่,เชียงใหม่,"18.7952376, 98.98781729999999",18.7952376,98.9878173,,"18.7952376, 98.98781729999999"
ศิรินาถการ์เด้น,Sirinart Garden,โรงแรม,259,,5000,590,คลองชลประทาน,ภาคเหนือ,สุเทพ,เมืองเชียงใหม่,เชียงใหม่,"18.7820144, 98.9594525",18.7819947,98.9594257,,"18.7820144, 98.9594525"
สไมล์เกสต์เฮ้าส์ 1,Smail Guesthouse,เกสท์เฮ้าส์,37,,700,250,ราชมรรคา,ภาคเหนือ,พระสิงห์,เมืองเชียงใหม่,เชียงใหม่,"18.7855289, 98.9919984",18.7854856,98.9919873,,"18.7855289, 98.9919984"
สมิทธ์ เรสซิเดนซ์,Smith Residence,โรงแรม,110,,4000,650,นันทาราม,ภาคเหนือ,ช้างม่อย,เมืองเชียงใหม่,เชียงใหม่,"18.7840169, 99.0008898",18.7840169,99.0008898,,"18.7840169, 99.0008898"
สมหวัง,Somwang,เกสท์เฮ้าส์,11,,120,80,ราชมรรคา,ภาคเหนือ,พระสิงห์,เมืองเชียงใหม่,เชียงใหม่,"18.7856543, 98.9926091",18.7856591,98.9926711,,"18.7856543, 98.9926091"
ปารีส การ์เด้นอินน์,Paris Garden Inn Hotel,โมเต็ล,62,,340,190,พระราม 2,ภาคกลาง,พันท้ายนรสิงห์,เมืองสมุทรสาคร,สมุทรสาคร,"13.5437598, 100.2560697",13.5437598,100.2560697,,"13.5437598, 100.2560697"
ศรีปิงรีสอร์ท,Sri Ping Resort,รีสอร์ท,9,,2500,1500,,ภาคเหนือ,ป่าแดด,เมืองเชียงใหม่,เชียงใหม่,"18.7293915, 98.9845835",18.7288547,98.9847198,,"18.7293915, 98.9845835"
ไร่ภูพานรีสอร์ท,,รีสอร์ท,18,,1200,300,สกล กาฬสินธุ์,ภาคตะวันออกเฉียงเหนือ,สร้างค้อ,ภูพาน,สกลนคร,"16.905803, 103.910729",16.905325,103.9113946,2,"16.905803, 103.910729"
เจริญพร,,โรงแรม,18,,250,150,นิตโย,ภาคตะวันออกเฉียงเหนือ,สว่างแดนดิน,สว่างแดนดิน,สกลนคร,"17.1622722, 104.1443311",17.1622522,104.1443692,,"17.1622722, 104.1443311"
บ้านกระทิง เขาหลัก รีสอร์ท,Baan Krating Khao Lak Resort,รีสอร์ท,25,มองเห็นวิวทะเลแบบ 365 องศา,1123,994,,ภาคใต้,คึกคัก,ตะกั่วป่า,พังงา,"8.6285493, 98.2415685",8.6287824,98.2414215,,"8.6285493, 98.2415685"
บ.เหล่าสำราญ,Baan Lao SamRan Home Stay,โฮมสเตย์/เรือนพักแรม,10,,500,300,,ภาคตะวันออกเฉียงเหนือ,โพนทอง,เรณูนคร,นครพนม,"17.0571401, 104.6924107",17.0572515,104.6912442,,"17.0571401, 104.6924107"
หมู่บ้านท่าเรืออนุรักษ์วัฒนธรรมผลิตเครื่องดนตรีพื้นเมืองอีสาน,,โฮมสเตย์/เรือนพักแรม,10,,120,120,,ภาคตะวันออกเฉียงเหนือ,ท่าเรือ,นาหว้า,นครพนม,"17.5165091, 104.0652557",17.5165798,104.0651588,,"17.5165091, 104.0652557"
สกลแกรนด์ พาเลซ,Sakhon Grand Palaes,โรงแรม,116,,2400,700,ไอทียู,ภาคตะวันออกเฉียงเหนือ,งิ้วด่อน,เมืองสกลนคร,สกลนคร,"17.1504671, 104.1575275",17.1502194,104.1570901,3,"17.1504671, 104.1575275"
เดอะ มาเจสติก สกลนคร,The Majestic Hotel Sakonnakhon,โรงแรม,100,,1600,750,รอบเมือง,ภาคตะวันออกเฉียงเหนือ,ดงมะไฟ,เมืองสกลนคร,สกลนคร,"17.1570659, 104.1472273",17.1570232,104.1471604,,"17.1570659, 104.1472273"
โคโคเทล,Kokotel Phuket Patong,โรงแรม,29,,1200,600,,ภาคใต้,ป่าตอง,กะทู้,ภูเก็ต,"7.897813999999999, 98.29703699999999",7.897814,98.297037,,"7.897813999999999, 98.29703699999999"
อิมพีเรียล,,โรงแรม,180,,2500,500,สุขเกษม,ภาคตะวันออกเฉียงเหนือ,ดงมะไฟ,เมืองสกลนคร,สกลนคร,"17.1589922, 104.147524",17.1589896,104.1475242,3,"17.1589922, 104.147524"
ชมดาว แอนด์ รีสอร์ท,,รีสอร์ท,42,,600,350,อุดรธานี สกลนคร,ภาคตะวันออกเฉียงเหนือ,สว่างแดนดิน,สว่างแดนดิน,สกลนคร,"17.4790076, 103.4857739",17.4781615,103.485128,2,"17.4790076, 103.4857739"
ชวนธนปัญญารีสอร์ท,,รีสอร์ท,12,,800,500,สว่าง   ส่องดาว,ภาคตะวันออกเฉียงเหนือ,สว่างแดนดิน,สว่างแดนดิน,สกลนคร,"17.460075, 103.4563731",17.460075,103.4563731,2,"17.460075, 103.4563731"
เบิรด์ พาราไดซ์ รีสอร์ท,,รีสอร์ท,40,,1600,1200,นิตโย,ภาคตะวันออกเฉียงเหนือ,ทรายมูล,สว่างแดนดิน,สกลนคร,"17.522846, 103.5476974",17.522846,103.5476974,2,"17.522846, 103.5476974"
เจษฎา แมนชั่น,,โรงแรม,25,,380,350,เจริญพาณิชย์,ภาคตะวันออกเฉียงเหนือ,สว่างแดนดิน,สว่างแดนดิน,สกลนคร,"17.4736671, 103.4565734",17.4737093,103.4564849,,"17.4736671, 103.4565734"
มุกดาสวรรค์ รีสอร์ท,Mukda swan,รีสอร์ท,12,,700,700,ชยางกูร,ภาคตะวันออกเฉียงเหนือ,บางทรายใหญ่,เมืองมุกดาหาร,มุกดาหาร,"16.5346819, 104.7268273",16.5346819,104.7268273,2,"16.5346819, 104.7268273"
พุทธชาด,Buddha Chat,โรงแรม,29,,350,200,,ภาคตะวันออกเฉียงเหนือ,พังโคน,พังโคน,สกลนคร,"17.033699, 104.293229",17.033699,104.293229,2,"17.033699, 104.293229"
กนกรัตน์ รีสอร์ท,Kanokrat Resort,รีสอร์ท,50,,1500,950,,ภาคกลาง,บ้านปรก,เมืองสมุทรสงคราม,สมุทรสงคราม,"13.4246107, 99.97803479999999",13.4243726,99.978133,,"13.4246107, 99.97803479999999"
คุ้มขุนศรีวังชัย,kumkhunsriwangchai,โฮมสเตย์/เรือนพักแรม,5,,3600,1000,,ภาคกลาง,บางช้าง,อัมพวา,สมุทรสงคราม,"13.4298763, 99.9749511",13.4298763,99.9749511,,"13.4298763, 99.9749511"
วิริยะเฮ้าส์,Wiriya House,เกสท์เฮ้าส์,27,,400,250,ราชเชียงแสน,ภาคเหนือ,หายยา,เมืองเชียงใหม่,เชียงใหม่,"18.779563, 98.9907613",18.7795927,98.9907401,,"18.779563, 98.9907613"
สวนมะละกอ รีสอร์ท,,รีสอร์ท,20,,350,350,,ภาคตะวันออกเฉียงเหนือ,นิคมคำสร้อย,นิคมคำสร้อย,มุกดาหาร,"16.36512, 104.562345",16.36512,104.562345,6,"16.36512, 104.562345"
ยันตรศิริบูติครีสอร์ท,yantara Boutique  Resort,รีสอร์ท,40,,18000,3200,นิมมานเหมินทร์,ภาคเหนือ,สุเทพ,เมืองเชียงใหม่,เชียงใหม่,"18.7976897, 98.9656878",18.7976897,98.9656878,,"18.7976897, 98.9656878"
แสงจันทร์รีสอร์ท,,โรงแรม,17,,390,390,,ภาคเหนือ,นาจักร,เมืองแพร่,แพร่,"18.1132518, 100.1452582",18.1132542,100.1452586,6,"18.1132518, 100.1452582"
วาย.เอ็ม.ซี.เอ. ดิอินเตอร์เนชั่นแนล,YMCA The International Chiang Mai,โรงแรม,79,,1500,500,,ภาคเหนือ,ช้างเผือก,เมืองเชียงใหม่,เชียงใหม่,"18.7991771, 98.9778406",18.7990617,98.9778055,,"18.7991771, 98.9778406"
ยัวร์เฮ้าส์,Your House,เกสท์เฮ้าส์,25,,850,200,ราชวิถี,ภาคเหนือ,ศรีภูมิ,เมืองเชียงใหม่,เชียงใหม่,"18.7912993, 98.9913169",18.7912993,98.9913169,,"18.7912993, 98.9913169"
แจ่งศรีภูมิเฮ้าส์,Jang Sripoom Home,เกสท์เฮ้าส์,18,,1200,400,มณีนพรัตน์,ภาคเหนือ,ศรีภูมิ,เมืองเชียงใหม่,เชียงใหม่,"18.7955984, 98.9934952",18.7955984,98.9934952,,"18.7955984, 98.9934952"
